x,y,label
-0.15267,-0.77562,0.00000
-0.04583,0.41496,1.00000
-0.35177,-0.75961,0.00000
0.76774,-0.44354,0.00000
-0.62491,-0.36860,0.00000
-0.88219,0.32545,1.00000
-0.61027,0.41228,0.00000
-0.15355,0.51735,1.00000
0.24058,0.25665,1.00000
0.27605,0.01204,1.00000
-0.19668,-0.77185,0.00000
-0.85954,0.31942,1.00000
0.20770,0.78687,1.00000
-0.66028,0.60379,1.00000
-0.11010,-0.38023,0.00000
0.16383,-0.36805,0.00000
0.44431,-0.42386,1.00000
0.10730,0.35607,1.00000
0.07665,0.40675,1.00000
-0.75663,-0.03831,0.00000
0.30858,-0.07703,1.00000
-0.02909,-0.65321,1.00000
-0.31502,0.25473,1.00000
-0.66145,0.32062,0.00000
-0.10628,0.23366,0.00000
-0.76881,0.47415,1.00000
0.19297,0.37696,1.00000
0.32172,0.66084,1.00000
-0.53470,-0.52972,0.00000
0.66925,0.08925,1.00000
0.66699,0.43064,1.00000
-0.64879,0.21305,0.00000
-0.54530,-0.10642,1.00000
0.16223,0.57671,0.00000
-0.51412,0.07312,1.00000
-0.84518,0.12102,1.00000
-0.28455,-0.09751,0.00000
0.38413,0.49043,0.00000
0.57970,-0.37192,1.00000
0.12218,0.60139,0.00000
-0.47062,-0.24463,1.00000
0.22811,0.30285,1.00000
0.27657,-0.82113,0.00000
-0.07339,-0.01129,1.00000
-0.27922,-0.00272,0.00000
0.48937,0.26929,0.00000
0.71325,-0.53003,0.00000
0.13928,0.32811,1.00000
0.67095,0.31588,1.00000
-0.33130,0.05752,0.00000
0.24459,0.22044,1.00000
-0.74078,0.48400,1.00000
-0.46180,-0.25918,1.00000
-0.17868,0.62288,0.00000
0.70899,-0.11363,1.00000
-0.36024,-0.76659,0.00000
0.67001,0.28961,1.00000
-0.76334,-0.19288,0.00000
0.44038,0.64431,1.00000
-0.48817,0.70375,1.00000
-0.18264,0.60020,0.00000
-0.32908,-0.22253,0.00000
-0.22384,-0.59022,1.00000
0.21826,-0.19124,1.00000
0.31363,0.09113,1.00000
0.22457,-0.03993,1.00000
0.65458,0.32502,1.00000
0.20302,-0.36779,0.00000
-0.92490,-0.00424,1.00000
0.77710,-0.43489,0.00000
-0.16482,0.40567,1.00000
-0.15689,0.22243,0.00000
-0.31517,-0.05672,0.00000
0.87369,-0.31295,0.00000
0.64971,-0.58257,0.00000
-0.54624,0.05074,1.00000
-0.42111,0.29884,1.00000
0.64003,0.39849,1.00000
-0.75533,0.02073,0.00000
0.43780,-0.48364,1.00000
-0.06116,0.39399,1.00000
-0.32728,-0.14245,0.00000
0.19976,0.84988,1.00000
-0.18122,-0.32130,0.00000
-0.76247,-0.02116,0.00000
-0.56041,0.48087,0.00000
0.64212,0.45257,1.00000
0.72018,0.20718,1.00000
-0.68258,0.58096,1.00000
0.77293,0.00667,1.00000
-0.01057,-0.85453,0.00000
-0.26299,-0.26963,0.00000
-0.89791,0.04443,1.00000
0.64297,0.29298,1.00000
0.23176,-0.83334,0.00000
0.45107,-0.76309,0.00000
-0.48949,-0.22095,1.00000
0.53199,-0.07682,0.00000
0.32543,-0.30949,0.00000
-0.48505,0.70519,1.00000
0.58341,0.16010,0.00000
-0.25675,0.36599,1.00000
-0.48066,0.08945,1.00000
-0.40679,-0.38369,1.00000
-0.33222,-0.05756,0.00000
-0.29239,0.00206,0.00000
0.60733,-0.64122,0.00000
-0.43535,0.09618,1.00000
0.29093,-0.85107,0.00000
0.30578,0.11830,1.00000
-0.78991,-0.02946,0.00000
-0.71726,-0.11450,0.00000
0.20069,-0.62885,1.00000
-0.87575,0.16564,1.00000
0.70680,-0.04359,1.00000
-0.79328,0.38251,1.00000
0.30007,0.07157,1.00000
-0.12067,-0.82701,0.00000
-0.50181,0.09116,1.00000
-0.44831,0.75104,1.00000
-0.14817,-0.82376,0.00000
0.27458,0.59800,0.00000
0.14941,-0.65623,1.00000
0.65737,-0.19163,1.00000
-0.31363,-0.47678,1.00000
-0.20668,0.58490,0.00000
0.16428,0.30609,1.00000
0.19952,0.79083,1.00000
-0.25680,-0.50297,1.00000
-0.06214,0.60945,0.00000
0.77343,0.09807,1.00000
-0.88467,0.26890,1.00000
0.16398,-0.16866,1.00000
0.73932,-0.07735,1.00000
0.73980,0.18264,1.00000
0.53157,0.60871,1.00000
-0.22425,-0.29799,0.00000
-0.34753,-0.34251,1.00000
-0.41328,0.28922,1.00000
-0.04766,0.76063,1.00000
0.63908,-0.29473,1.00000
-0.30913,0.02699,0.00000
0.56745,-0.70903,0.00000
0.11928,-0.46673,0.00000
0.52054,-0.00722,0.00000
-0.59497,-0.41054,0.00000
-0.28185,0.59806,0.00000
-0.67667,0.57350,1.00000
0.52562,-0.67034,0.00000
-0.20671,0.63032,0.00000
-0.04036,-0.66810,1.00000
-0.69351,0.15003,0.00000
-0.92125,0.12873,1.00000
-0.16314,-0.61906,1.00000
0.18272,0.35070,1.00000
-0.00700,0.67808,0.00000
0.39062,0.66337,1.00000
-0.17651,0.17618,0.00000
-0.09297,0.81000,1.00000
0.51699,0.13628,0.00000
-0.79839,0.04110,0.00000
0.76337,0.10775,1.00000
-0.15394,-0.56016,1.00000
0.23127,-0.89100,0.00000
0.34620,0.69883,1.00000
-0.07956,0.40450,1.00000
0.44377,-0.44530,1.00000
-0.05655,-0.60688,1.00000
-0.07854,-0.37974,0.00000
0.62361,-0.60440,0.00000
0.31122,0.17276,1.00000
-0.28743,-0.22194,0.00000
0.61547,-0.36462,1.00000
0.25356,-0.37306,0.00000
0.22473,0.78928,1.00000
0.53420,-0.39496,1.00000
0.66216,-0.25118,1.00000
-0.15600,0.83811,1.00000
0.26639,0.74093,1.00000
-0.40727,-0.65979,0.00000
0.90137,-0.22365,0.00000
0.45275,0.66197,1.00000
-0.16830,0.78654,1.00000
-0.61364,0.54968,1.00000
-0.29591,-0.50166,1.00000
0.47065,-0.50027,1.00000
-0.20764,-0.27176,0.00000
0.09031,-0.84211,0.00000
-0.03421,-0.63425,1.00000
-0.82331,0.40783,1.00000
0.35630,0.45508,0.00000
-0.61376,0.31386,0.00000
0.16005,0.32410,1.00000
0.42690,0.45039,0.00000
-0.19312,0.23390,0.00000
0.08232,0.75974,1.00000
-0.04902,0.61581,0.00000
-0.12904,-0.58816,1.00000
0.16337,0.60839,0.00000
-0.70189,-0.10295,0.00000
0.56693,-0.35753,1.00000
-0.72229,0.56812,1.00000
0.01766,-0.40381,0.00000
-0.32807,-0.09383,0.00000
0.73559,-0.00458,1.00000
-0.65411,-0.48034,0.00000
-0.57413,-0.57406,0.00000
-0.66762,-0.37589,0.00000
-0.13857,0.61215,0.00000
-0.89859,0.28646,1.00000
-0.26307,-0.78932,0.00000
0.11770,-0.47399,0.00000
-0.90063,0.07077,1.00000
-0.32813,0.79370,1.00000
-0.52972,-0.22415,1.00000
-0.09169,-0.79722,0.00000
-0.13533,0.37347,1.00000
-0.14442,-0.38688,0.00000
0.24872,0.14169,1.00000
0.21890,-0.38541,0.00000
-0.10568,0.82522,1.00000
-0.08187,-0.78771,0.00000
0.77031,-0.59077,0.00000
-0.77987,-0.03081,0.00000
-0.65689,0.35554,0.00000
-0.49851,-0.62826,0.00000
-0.12245,-0.55588,1.00000
0.95501,-0.24656,0.00000
0.69571,0.38080,1.00000
0.70433,-0.03305,1.00000
-0.67106,-0.42458,0.00000
-0.08310,-0.85639,0.00000
0.42982,-0.29979,0.00000
-0.44348,-0.23871,1.00000
-0.35232,0.82946,1.00000
0.44950,-0.45835,1.00000
-0.46514,0.53640,0.00000
0.47510,-0.09590,0.00000
-0.83797,0.39728,1.00000
-0.28775,0.86420,1.00000
0.76453,-0.59070,0.00000
-0.08382,-0.36581,0.00000
-0.50822,0.50936,0.00000
0.51826,0.59526,1.00000
-0.73698,-0.14559,0.00000
-0.80229,0.39860,1.00000
0.46659,0.36237,0.00000
0.65351,-0.62580,0.00000
0.22777,0.20305,1.00000
-0.01954,-0.87673,0.00000
0.67746,0.29773,1.00000
-0.85865,0.37378,1.00000
-0.25919,0.61540,0.00000
0.17002,-0.54621,1.00000
-0.62452,0.33706,0.00000
-0.09749,0.86677,1.00000
-0.05404,-0.45195,0.00000
-0.70869,0.15905,0.00000
0.69403,-0.59863,0.00000
-0.63540,0.63642,1.00000
0.62482,0.37456,1.00000
0.40382,-0.59515,1.00000
-0.13117,-0.40581,0.00000
0.01052,-0.63187,1.00000
-0.00308,-0.83421,0.00000
0.23280,-0.86989,0.00000
0.44951,-0.23932,0.00000
0.77757,-0.49942,0.00000
0.10554,-0.41685,0.00000
-0.43121,-0.33433,1.00000
0.35880,-0.34378,0.00000
0.51084,0.16387,0.00000
-0.17286,-0.33500,0.00000
0.21702,-0.19309,1.00000
0.44660,-0.19502,0.00000
-0.64347,-0.32768,0.00000
-0.56285,0.40173,0.00000
0.11510,-0.81174,0.00000
0.67857,-0.57311,0.00000
0.73169,0.15656,1.00000
-0.04676,-0.18301,1.00000
-0.33573,-0.53415,1.00000
-0.53056,0.48670,0.00000
-0.00757,-0.26312,1.00000
0.15181,0.59211,0.00000
0.69782,-0.10768,1.00000
0.19425,0.75132,1.00000
0.11331,-0.19101,1.00000
0.02027,0.81619,1.00000
0.31852,0.75350,1.00000
-0.03628,-0.41179,0.00000
-0.44231,0.45496,0.00000
0.67081,-0.09946,1.00000
0.45147,0.33807,0.00000
0.11046,0.83014,1.00000
-0.54455,0.17617,1.00000
-0.04617,-0.56669,1.00000
0.07476,0.62790,0.00000
0.57188,0.47613,1.00000
-0.43852,-0.36361,1.00000
-0.46070,0.09228,1.00000
0.91752,-0.11804,0.00000
0.20175,-0.82073,0.00000
0.31163,0.04637,1.00000
-0.71543,0.20436,0.00000
0.22298,-0.56787,1.00000
0.50921,0.02395,0.00000
-0.18818,0.83455,1.00000
-0.45768,-0.34381,1.00000
-0.20342,0.66089,0.00000
0.42998,0.66462,1.00000
0.45154,-0.24688,0.00000
0.50837,0.19881,0.00000
-0.86785,-0.02740,1.00000
-0.30782,0.28628,1.00000
0.26349,0.19394,1.00000
-0.33210,-0.06566,0.00000
0.16524,0.79526,1.00000
0.82578,-0.37932,0.00000
0.47325,-0.69048,0.00000
-0.70003,0.52836,1.00000
-0.45469,-0.67135,0.00000
-0.31352,-0.06469,0.00000
-0.66082,0.29720,0.00000
0.33779,0.43698,0.00000
-0.85592,0.18574,1.00000
0.03535,0.60470,0.00000
-0.51664,-0.13855,1.00000
0.48956,-0.53356,1.00000
-0.57636,0.70874,1.00000
-0.69773,0.19669,0.00000
-0.49767,0.00900,1.00000
-0.52297,-0.24854,1.00000
-0.41302,0.23718,1.00000
0.26090,0.56563,0.00000
0.21391,0.74797,1.00000
0.66263,0.12276,1.00000
-0.64247,-0.48373,0.00000
-0.16896,0.31978,1.00000
-0.22078,-0.47482,1.00000
-0.65991,0.22709,0.00000
0.55798,-0.69887,0.00000
-0.78896,0.40845,1.00000
-0.20413,0.58249,0.00000
0.69359,-0.62751,0.00000
0.97015,-0.13287,0.00000
-0.43839,0.75332,1.00000
-0.92949,0.33737,1.00000
-0.58064,-0.54400,0.00000
0.07731,-0.61942,1.00000
0.13975,0.43707,1.00000
0.06318,-0.21067,1.00000
-0.15998,-0.32935,0.00000
0.16658,-0.63928,1.00000
0.08223,-0.63506,1.00000
0.42281,0.37202,0.00000
0.39063,0.71491,1.00000
-0.68729,0.00647,0.00000
-0.41218,-0.66168,0.00000
-0.09204,0.85388,1.00000
-0.30631,-0.14953,0.00000
-0.46803,-0.23308,1.00000
0.08470,-0.37357,0.00000
-0.65905,-0.39991,0.00000
0.78260,-0.48903,0.00000
0.22155,0.72478,1.00000
0.15576,-0.82398,0.00000
-0.68498,0.10584,0.00000
0.96209,-0.01532,0.00000
0.58750,0.05370,0.00000
0.43289,0.61818,1.00000
0.53455,-0.39441,1.00000
-0.20146,-0.81051,0.00000
0.21466,0.59777,0.00000
0.96225,-0.05849,0.00000
-0.77319,0.39777,1.00000
-0.39814,-0.36422,1.00000
0.60171,-0.69551,0.00000
0.03800,0.80889,1.00000
-0.43551,0.47655,0.00000
-0.20014,0.58621,0.00000
0.64247,-0.26531,1.00000
-0.60056,0.64344,1.00000
0.08508,-0.14492,1.00000
-0.19945,-0.56844,1.00000
0.50378,-0.39187,1.00000
0.78772,-0.38258,0.00000
0.87493,-0.36744,0.00000
0.18113,0.81280,1.00000
-0.11973,-0.86473,0.00000
-0.59438,0.57207,1.00000
-0.91696,0.00201,1.00000
-0.62370,0.61633,1.00000
-0.38482,-0.38960,1.00000
-0.47149,-0.33931,1.00000
0.00968,0.65015,0.00000
0.45656,-0.45407,1.00000
0.37848,-0.83248,0.00000
0.75868,-0.43237,0.00000
0.32975,-0.59034,1.00000
0.16299,0.58075,0.00000
0.67351,-0.16780,1.00000
0.62915,0.43742,1.00000
-0.02071,0.62856,0.00000
-0.93046,0.15830,1.00000
-0.51500,0.71265,1.00000
-0.54156,-0.53335,0.00000
-0.23358,-0.31042,0.00000
-0.02271,0.68958,0.00000
-0.37314,0.72228,1.00000
-0.66794,-0.43588,0.00000
-0.17229,0.64055,0.00000
0.18055,0.29704,1.00000
0.86384,-0.50096,0.00000
0.71267,-0.49504,0.00000
0.51721,0.08685,0.00000
0.31539,-0.10904,1.00000
-0.44996,0.49481,0.00000
0.72296,-0.55818,0.00000
0.45564,0.37698,0.00000
0.76941,-0.11137,1.00000
0.98238,-0.00034,0.00000
0.70763,0.17903,1.00000
0.92430,-0.26245,0.00000
-0.03113,-0.65492,1.00000
0.07393,-0.44135,0.00000
0.21566,-0.43754,0.00000
-0.26365,0.85182,1.00000
-0.51427,-0.53741,0.00000
-0.94538,0.06603,1.00000
-0.55969,0.67717,1.00000
0.44696,0.66026,1.00000
0.42823,0.31452,0.00000
0.63373,0.42151,1.00000
0.65285,-0.59923,0.00000
-0.11209,0.63237,0.00000
-0.80698,-0.10919,0.00000
-0.28225,0.37733,1.00000
-0.26821,-0.56591,1.00000
0.12586,0.05414,0.00000
0.50491,0.62339,1.00000
0.70204,0.25912,1.00000
0.65604,-0.23100,1.00000
-0.18801,0.39634,1.00000
0.30165,-0.38102,0.00000
-0.57916,0.66029,1.00000
-0.31248,0.36663,1.00000
-0.39248,0.23329,1.00000
-0.76884,0.34906,1.00000
-0.49084,-0.05417,1.00000
-0.34324,-0.76261,0.00000
0.13740,-0.45079,0.00000
0.55405,-0.42488,1.00000
0.31932,0.27247,1.00000
0.70596,-0.51750,0.00000
0.57496,0.64934,1.00000
-0.55819,-0.09189,1.00000
0.39520,0.46474,0.00000
-0.25968,0.81949,1.00000
-0.36486,-0.72991,0.00000
0.26546,-0.81109,0.00000
-0.17513,-0.79093,0.00000
0.61916,-0.27922,1.00000
0.37818,0.69326,1.00000
-0.25045,-0.26144,0.00000
-0.40557,0.25163,1.00000
0.35518,-0.56760,1.00000
0.46970,0.68183,1.00000
0.68334,0.18548,1.00000
-0.54384,-0.07797,1.00000
0.53532,-0.03584,0.00000
0.94579,0.01933,0.00000
-0.51205,0.44008,0.00000
0.59482,-0.65112,0.00000
0.25606,0.14021,1.00000
-0.22931,-0.76765,0.00000
-0.13350,-0.54882,1.00000
0.68190,0.05514,1.00000
0.18062,-0.19479,1.00000
-0.28454,-0.16933,0.00000
-0.95956,0.04326,1.00000
0.32249,-0.57737,1.00000
-0.60465,0.61425,1.00000
-0.00285,0.29822,0.00000
0.18148,-0.37706,0.00000
-0.40684,-0.67871,0.00000
-0.70284,0.48946,1.00000
0.21014,0.22415,1.00000
-0.26819,-0.03303,0.00000
-0.42834,0.50626,0.00000
-0.73203,-0.06882,0.00000
-0.27754,-0.78375,0.00000
-0.45060,-0.62984,0.00000
0.72782,-0.46817,0.00000
-0.00741,0.82697,1.00000
-0.67055,-0.47482,0.00000
-0.19510,0.14114,0.00000
-0.32023,-0.50642,1.00000
-0.49909,-0.24940,1.00000
0.74529,0.04474,1.00000
